T2M,WS10M,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,rain_label
22.31,2.63,77.62,88.31,388.62,20.03,0
20.94,3.68,79.75,88.37,392.6,22.41,0
22.51,2.63,72.19,88.38,393.93,10.34,0
24.55,1.88,61.69,88.27,385.55,26.7,0
23.85,1.98,67.44,88.2,389.14,10.27,0
21.65,3.31,79.31,88.2,386.45,23.03,0
22.75,3.48,71.0,88.15,382.95,18.33,0
22.6,2.76,73.25,88.28,388.75,22.8,0
21.69,1.6,78.88,88.38,393.28,12.09,0
23.12,1.86,74.81,88.36,391.23,23.65,0
22.44,2.45,74.75,88.41,388.47,23.86,0
22.45,1.14,73.62,88.32,391.3,18.05,0
21.27,3.43,74.62,88.44,390.02,21.49,0
23.96,2.41,60.69,88.31,391.9,23.25,0
24.76,2.32,64.62,88.22,402.0,11.65,0
22.47,2.8,75.19,88.22,395.48,23.35,0
24.46,2.72,63.62,88.16,393.72,17.43,0
22.48,3.02,76.81,88.25,391.19,21.14,0
23.33,3.31,69.06,88.23,391.98,17.47,0
23.97,1.95,65.19,88.18,395.91,21.85,0
21.8,1.92,82.19,88.28,385.91,22.53,0
20.33,2.09,88.06,88.39,387.14,9.98,0
20.8,2.54,87.31,88.34,390.37,14.53,0
21.04,3.4,86.25,88.22,388.41,9.28,0
21.45,3.28,80.25,88.25,387.47,20.58,0
21.6,2.62,77.56,88.42,392.88,16.91,0
21.81,1.72,78.12,88.46,383.22,23.33,0
22.06,0.97,80.19,88.33,397.45,15.01,0
21.65,4.04,79.81,88.27,392.51,12.42,0
21.12,2.37,81.81,88.32,382.93,23.1,0
22.19,2.62,77.88,88.22,392.89,13.91,0
21.21,2.59,80.06,88.28,387.31,22.13,0
22.74,2.65,70.25,88.32,391.64,18.09,0
23.27,2.95,68.38,88.35,390.12,19.62,0
23.26,3.55,65.94,88.31,392.9,21.67,0
22.84,3.0,72.06,88.37,395.88,19.2,0
22.62,2.34,75.0,88.41,394.66,20.38,0
21.43,2.65,81.38,88.3,393.12,16.13,0
21.53,3.3,76.94,88.24,400.57,16.0,0
21.74,1.83,74.25,88.34,393.03,20.14,0
21.48,2.66,84.31,88.41,397.71,16.45,1
21.12,2.18,82.19,88.39,387.51,23.68,0
22.5,1.18,75.12,88.28,389.61,20.9,0
22.01,1.34,82.88,88.13,402.96,17.36,1
20.65,2.59,84.38,88.18,393.75,15.24,0
22.41,2.29,74.38,88.2,377.34,26.19,0
22.67,2.84,71.88,88.16,383.27,18.47,0
