T2M,WS10M,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,rain_label
1.19,4.46,71.38,92.58,260.91,8.03,0
1.91,4.59,80.25,92.11,247.68,8.62,0
-3.01,8.16,68.94,92.41,261.82,6.44,0
-6.09,4.61,51.56,94.18,204.09,9.72,0
-3.03,4.78,61.19,92.75,209.31,10.15,0
0.28,6.02,58.88,91.99,235.02,9.85,0
1.16,3.94,81.31,92.02,270.12,6.5,0
3.75,3.54,79.0,92.46,251.48,9.94,0
0.01,9.03,68.62,92.95,284.34,4.38,0
-1.7,4.53,60.31,93.96,233.6,8.91,0
1.69,4.77,64.62,93.74,256.27,7.97,0
-1.88,8.26,64.94,93.78,238.16,8.37,0
1.15,5.62,59.5,93.41,267.98,7.61,0
-4.67,6.75,65.44,94.19,249.48,7.43,0
-10.82,3.78,72.44,94.93,252.18,6.34,0
0.31,4.41,74.19,93.82,248.77,10.6,0
3.55,7.9,60.06,93.6,239.52,11.09,0
4.9,8.93,54.62,93.49,263.9,8.67,0
3.29,7.85,63.12,93.51,239.18,11.3,0
2.65,5.02,64.12,93.61,231.44,11.38,0
4.03,4.44,54.12,93.12,234.97,11.91,0
4.92,4.41,57.5,92.72,258.35,9.61,0
-4.23,8.07,63.12,94.19,280.45,3.16,0
-7.45,4.46,54.88,94.3,268.73,5.99,0
-10.74,4.02,71.56,93.93,259.11,4.81,0
-11.78,3.62,72.5,94.14,245.06,5.56,0
-10.55,2.68,71.44,93.84,230.95,8.07,0
-2.02,5.94,60.5,93.08,241.98,7.7,0
-1.61,5.12,66.88,93.77,230.56,11.79,0
2.69,6.95,59.0,93.72,257.13,11.4,0
3.3,4.88,65.56,92.84,239.67,12.87,0
-0.09,4.41,58.25,93.65,241.18,11.6,0
1.08,3.73,55.38,93.73,261.83,12.58,0
-2.89,2.8,74.12,94.17,248.04,12.19,0
0.57,3.67,73.5,93.99,229.95,13.53,0
5.74,3.4,52.88,93.28,244.69,13.08,0
7.93,4.91,47.31,92.44,261.27,12.43,0
6.26,5.0,64.38,93.48,256.65,13.08,0
3.12,6.25,89.25,93.36,304.05,4.3,0
8.8,7.87,72.12,91.22,313.55,5.77,0
4.12,3.74,66.5,92.02,260.99,12.42,0
2.42,5.46,64.69,92.89,249.23,14.52,0
0.61,2.95,64.25,93.46,239.16,13.32,0
-2.98,6.01,76.62,93.49,273.36,6.72,0
-4.33,3.7,58.62,93.69,272.99,5.02,0
-2.89,3.61,65.12,94.01,265.66,7.96,0
0.82,5.56,70.25,93.15,244.66,14.26,0
3.77,4.36,75.38,91.74,255.28,14.45,0
-1.96,5.89,66.75,93.1,225.86,14.45,0
1.47,4.33,57.69,93.71,232.74,15.57,0
2.46,7.39,54.56,93.14,251.55,12.8,0
-2.32,6.02,47.5,94.05,207.74,16.99,0
-0.17,4.91,51.06,94.26,237.26,15.39,0
1.36,5.36,61.0,93.69,261.24,12.74,0
9.99,4.02,62.94,92.83,287.53,16.48,0
8.69,4.63,67.0,93.04,283.27,14.65,0
3.35,7.69,66.19,92.73,257.71,17.1,0
-5.94,4.06,68.19,93.66,268.92,7.54,0
-5.69,6.19,55.69,94.71,233.82,15.2,0
-5.29,3.86,68.62,94.61,235.55,12.06,0
-0.71,4.77,63.81,93.62,268.74,12.09,0
2.66,5.09,66.81,93.08,267.09,16.19,0
8.46,3.94,65.0,92.43,280.12,16.11,0
12.33,5.56,43.12,92.17,262.12,18.4,0
7.37,5.26,43.56,92.84,268.84,17.46,0
1.93,6.19,84.5,92.63,300.98,3.82,0
5.14,5.19,60.19,92.67,251.9,19.91,0
1.23,6.8,71.75,92.62,293.84,6.67,0
-4.8,6.8,56.94,93.33,244.86,12.67,0
-6.05,4.87,49.12,94.67,206.24,19.96,0
-2.99,4.91,62.94,94.28,245.52,14.81,0
0.72,2.0,66.06,93.91,233.23,19.93,0
3.66,4.67,69.12,93.08,244.59,20.47,0
7.38,4.59,66.88,92.73,256.22,20.73,0
12.15,3.95,45.5,93.19,266.03,21.42,0
12.82,4.78,48.69,93.27,276.04,20.67,0
7.31,4.8,65.62,93.92,282.04,18.9,0
8.74,4.41,57.38,94.09,296.58,16.92,0
9.5,5.54,74.69,93.4,321.88,8.15,0
13.48,5.95,75.56,93.3,307.7,20.32,0
15.74,9.82,72.88,92.19,341.74,8.02,0
